,gamma,epsilon,c1,c2,k_epoch,actor_lr,critic_lr,episodes,steps,cleaned
310,0.99,0.2,0.5,0.01,20.0,0.001,0.01,5.0,25.0,53.84615384615385
311,0.99,0.2,0.5,0.01,20.0,0.001,0.01,5.0,25.0,49.23076923076923
312,0.99,0.2,0.5,0.1,20.0,0.0003,0.001,5.0,15.0,47.692307692307686
313,0.99,0.2,0.5,0.1,20.0,0.0003,0.001,5.0,15.0,57.94871794871795
314,0.99,0.2,0.5,0.1,20.0,0.0003,0.001,5.0,15.0,38.46153846153846
315,0.99,0.2,0.5,0.1,20.0,0.0003,0.001,5.0,25.0,50.256410256410255
316,0.99,0.2,0.5,0.1,20.0,0.0003,0.001,5.0,25.0,37.43589743589744
317,0.99,0.2,0.5,0.1,20.0,0.0003,0.001,5.0,25.0,42.56410256410257
318,0.99,0.2,0.5,0.1,20.0,0.0003,0.01,5.0,15.0,42.56410256410257
319,0.99,0.2,0.5,0.1,20.0,0.0003,0.01,5.0,15.0,46.15384615384615
320,0.99,0.2,0.5,0.1,20.0,0.0003,0.01,5.0,15.0,32.82051282051283
321,0.99,0.2,0.5,0.1,20.0,0.0003,0.01,5.0,25.0,53.333333333333336
322,0.99,0.2,0.5,0.1,20.0,0.0003,0.01,5.0,25.0,58.97435897435898
323,0.99,0.2,0.5,0.1,20.0,0.0003,0.01,5.0,25.0,50.256410256410255
324,0.99,0.2,0.5,0.1,20.0,0.001,0.001,5.0,15.0,50.76923076923077
325,0.99,0.2,0.5,0.1,20.0,0.001,0.001,5.0,15.0,53.333333333333336
326,0.99,0.2,0.5,0.1,20.0,0.001,0.001,5.0,15.0,26.153846153846143
327,0.99,0.2,0.5,0.1,20.0,0.001,0.001,5.0,25.0,46.66666666666666
328,0.99,0.2,0.5,0.1,20.0,0.001,0.001,5.0,25.0,67.17948717948718
329,0.99,0.2,0.5,0.1,20.0,0.001,0.001,5.0,25.0,32.30769230769231
330,0.99,0.2,0.5,0.1,20.0,0.001,0.01,5.0,15.0,46.66666666666666
331,0.99,0.2,0.5,0.1,20.0,0.001,0.01,5.0,15.0,48.71794871794872
332,0.99,0.2,0.5,0.1,20.0,0.001,0.01,5.0,15.0,39.48717948717949
333,0.99,0.2,0.5,0.1,20.0,0.001,0.01,5.0,25.0,47.692307692307686
334,0.99,0.2,0.5,0.1,20.0,0.001,0.01,5.0,25.0,45.12820512820512
335,0.99,0.2,0.5,0.1,20.0,0.001,0.01,5.0,25.0,54.35897435897436
336,0.99,0.2,0.1,0.01,20.0,0.0003,0.001,5.0,15.0,61.53846153846153
337,0.99,0.2,0.1,0.01,20.0,0.0003,0.001,5.0,15.0,55.8974358974359
338,0.99,0.2,0.1,0.01,20.0,0.0003,0.001,5.0,15.0,53.84615384615385
339,0.99,0.2,0.1,0.01,20.0,0.0003,0.001,5.0,25.0,60.51282051282051
340,0.99,0.2,0.1,0.01,20.0,0.0003,0.001,5.0,25.0,48.2051282051282
341,0.99,0.2,0.1,0.01,20.0,0.0003,0.001,5.0,25.0,51.7948717948718
342,0.99,0.2,0.1,0.01,20.0,0.0003,0.01,5.0,15.0,44.61538461538461
343,0.99,0.2,0.1,0.01,20.0,0.0003,0.01,5.0,15.0,45.64102564102564
344,0.99,0.2,0.1,0.01,20.0,0.0003,0.01,5.0,15.0,54.87179487179487
345,0.99,0.2,0.1,0.01,20.0,0.0003,0.01,5.0,25.0,53.84615384615385
346,0.99,0.2,0.1,0.01,20.0,0.0003,0.01,5.0,25.0,58.46153846153846
347,0.99,0.2,0.1,0.01,20.0,0.0003,0.01,5.0,25.0,55.38461538461538
348,0.99,0.2,0.1,0.01,20.0,0.001,0.001,5.0,15.0,64.61538461538461
349,0.99,0.2,0.1,0.01,20.0,0.001,0.001,5.0,15.0,45.12820512820512
350,0.99,0.2,0.1,0.01,20.0,0.001,0.001,5.0,15.0,41.53846153846153
351,0.99,0.2,0.1,0.01,20.0,0.001,0.001,5.0,25.0,46.15384615384615
352,0.99,0.2,0.1,0.01,20.0,0.001,0.001,5.0,25.0,47.692307692307686
353,0.99,0.2,0.1,0.01,20.0,0.001,0.001,5.0,25.0,51.7948717948718
354,0.99,0.2,0.1,0.01,20.0,0.001,0.01,5.0,15.0,62.56410256410256
355,0.99,0.2,0.1,0.01,20.0,0.001,0.01,5.0,15.0,50.256410256410255
356,0.99,0.2,0.1,0.01,20.0,0.001,0.01,5.0,15.0,48.2051282051282
357,0.99,0.2,0.1,0.01,20.0,0.001,0.01,5.0,25.0,50.76923076923077
358,0.99,0.2,0.1,0.01,20.0,0.001,0.01,5.0,25.0,57.94871794871795
359,0.99,0.2,0.1,0.01,20.0,0.001,0.01,5.0,25.0,56.41025641025641
360,0.99,0.2,0.1,0.1,20.0,0.0003,0.001,5.0,15.0,57.94871794871795
361,0.99,0.2,0.1,0.1,20.0,0.0003,0.001,5.0,15.0,51.282051282051285
362,0.99,0.2,0.1,0.1,20.0,0.0003,0.001,5.0,15.0,45.64102564102564
363,0.99,0.2,0.1,0.1,20.0,0.0003,0.001,5.0,25.0,47.179487179487175
364,0.99,0.2,0.1,0.1,20.0,0.0003,0.001,5.0,25.0,70.25641025641025
365,0.99,0.2,0.1,0.1,20.0,0.0003,0.001,5.0,25.0,43.07692307692308
366,0.99,0.2,0.1,0.1,20.0,0.0003,0.01,5.0,15.0,63.07692307692307
367,0.99,0.2,0.1,0.1,20.0,0.0003,0.01,5.0,15.0,64.61538461538461
368,0.99,0.2,0.1,0.1,20.0,0.0003,0.01,5.0,15.0,47.179487179487175
369,0.99,0.2,0.1,0.1,20.0,0.0003,0.01,5.0,25.0,48.2051282051282
370,0.99,0.2,0.1,0.1,20.0,0.0003,0.01,5.0,25.0,54.35897435897436
371,0.99,0.2,0.1,0.1,20.0,0.0003,0.01,5.0,25.0,53.333333333333336
372,0.99,0.2,0.1,0.1,20.0,0.001,0.001,5.0,15.0,43.07692307692308
373,0.99,0.2,0.1,0.1,20.0,0.001,0.001,5.0,15.0,50.76923076923077
374,0.99,0.2,0.1,0.1,20.0,0.001,0.001,5.0,15.0,53.333333333333336
375,0.99,0.2,0.1,0.1,20.0,0.001,0.001,5.0,25.0,48.2051282051282
376,0.99,0.2,0.1,0.1,20.0,0.001,0.001,5.0,25.0,67.6923076923077
377,0.99,0.2,0.1,0.1,20.0,0.001,0.001,5.0,25.0,51.7948717948718
378,0.99,0.2,0.1,0.1,20.0,0.001,0.01,5.0,15.0,56.41025641025641
379,0.99,0.2,0.1,0.1,20.0,0.001,0.01,5.0,15.0,43.07692307692308
380,0.99,0.2,0.1,0.1,20.0,0.001,0.01,5.0,15.0,48.71794871794872
381,0.99,0.2,0.1,0.1,20.0,0.001,0.01,5.0,25.0,29.74358974358975
382,0.99,0.2,0.1,0.1,20.0,0.001,0.01,5.0,25.0,46.66666666666666
383,0.99,0.2,0.1,0.1,20.0,0.001,0.01,5.0,25.0,53.84615384615385
384,0.95,0.1,0.5,0.01,20.0,0.0003,0.001,5.0,15.0,49.23076923076923
385,0.95,0.1,0.5,0.01,20.0,0.0003,0.001,5.0,15.0,42.05128205128205
386,0.95,0.1,0.5,0.01,20.0,0.0003,0.001,5.0,15.0,27.179487179487182
387,0.95,0.1,0.5,0.01,20.0,0.0003,0.001,5.0,25.0,43.58974358974359
388,0.95,0.1,0.5,0.01,20.0,0.0003,0.001,5.0,25.0,49.74358974358975
389,0.95,0.1,0.5,0.01,20.0,0.0003,0.001,5.0,25.0,51.282051282051285
390,0.95,0.1,0.5,0.01,20.0,0.0003,0.01,5.0,15.0,46.15384615384615
391,0.95,0.1,0.5,0.01,20.0,0.0003,0.01,5.0,15.0,51.7948717948718
392,0.95,0.1,0.5,0.01,20.0,0.0003,0.01,5.0,15.0,52.820512820512825
393,0.95,0.1,0.5,0.01,20.0,0.0003,0.01,5.0,25.0,49.23076923076923
394,0.95,0.1,0.5,0.01,20.0,0.0003,0.01,5.0,25.0,59.48717948717949
395,0.95,0.1,0.5,0.01,20.0,0.0003,0.01,5.0,25.0,57.43589743589744
396,0.95,0.1,0.5,0.01,20.0,0.001,0.001,5.0,15.0,61.02564102564102
397,0.95,0.1,0.5,0.01,20.0,0.001,0.001,5.0,15.0,62.05128205128205
398,0.95,0.1,0.5,0.01,20.0,0.001,0.001,5.0,15.0,49.23076923076923
399,0.95,0.1,0.5,0.01,20.0,0.001,0.001,5.0,25.0,50.76923076923077
400,0.95,0.1,0.5,0.01,20.0,0.001,0.001,5.0,25.0,42.05128205128205
401,0.95,0.1,0.5,0.01,20.0,0.001,0.001,5.0,25.0,50.256410256410255
402,0.95,0.1,0.5,0.01,20.0,0.001,0.01,5.0,15.0,51.282051282051285
403,0.95,0.1,0.5,0.01,20.0,0.001,0.01,5.0,15.0,58.46153846153846
404,0.95,0.1,0.5,0.01,20.0,0.001,0.01,5.0,15.0,67.6923076923077
405,0.95,0.1,0.5,0.01,20.0,0.001,0.01,5.0,25.0,50.256410256410255
406,0.95,0.1,0.5,0.01,20.0,0.001,0.01,5.0,25.0,52.30769230769231
407,0.95,0.1,0.5,0.01,20.0,0.001,0.01,5.0,25.0,48.71794871794872
408,0.95,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,61.53846153846153
409,0.95,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,66.66666666666667
410,0.95,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,60.51282051282051
411,0.95,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,54.87179487179487
412,0.95,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,49.23076923076923
413,0.95,0.1,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,61.53846153846153
414,0.95,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,60.0
415,0.95,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,51.7948717948718
416,0.95,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,66.15384615384616
417,0.95,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,57.94871794871795
418,0.95,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,57.94871794871795
419,0.95,0.1,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,49.23076923076923
420,0.95,0.1,0.5,0.01,40.0,0.001,0.001,5.0,15.0,51.7948717948718
421,0.95,0.1,0.5,0.01,40.0,0.001,0.001,5.0,15.0,68.2051282051282
422,0.95,0.1,0.5,0.01,40.0,0.001,0.001,5.0,15.0,63.58974358974359
423,0.95,0.1,0.5,0.01,40.0,0.001,0.001,5.0,25.0,51.282051282051285
424,0.95,0.1,0.5,0.01,40.0,0.001,0.001,5.0,25.0,56.41025641025641
425,0.95,0.1,0.5,0.01,40.0,0.001,0.001,5.0,25.0,55.38461538461538
426,0.95,0.1,0.5,0.01,40.0,0.001,0.01,5.0,15.0,61.53846153846153
427,0.95,0.1,0.5,0.01,40.0,0.001,0.01,5.0,15.0,58.46153846153846
428,0.95,0.1,0.5,0.01,40.0,0.001,0.01,5.0,15.0,53.333333333333336
429,0.95,0.1,0.5,0.01,40.0,0.001,0.01,5.0,25.0,68.2051282051282
430,0.95,0.1,0.5,0.01,40.0,0.001,0.01,5.0,25.0,59.48717948717949
431,0.95,0.1,0.5,0.01,40.0,0.001,0.01,5.0,25.0,51.282051282051285
432,0.95,0.1,0.5,0.1,20.0,0.0003,0.001,5.0,15.0,52.820512820512825
433,0.95,0.1,0.5,0.1,20.0,0.0003,0.001,5.0,15.0,9.743589743589736
434,0.95,0.1,0.5,0.1,20.0,0.0003,0.001,5.0,15.0,55.8974358974359
435,0.95,0.1,0.5,0.1,20.0,0.0003,0.001,5.0,25.0,50.76923076923077
436,0.95,0.1,0.5,0.1,20.0,0.0003,0.001,5.0,25.0,34.358974358974365
437,0.95,0.1,0.5,0.1,20.0,0.0003,0.001,5.0,25.0,51.282051282051285
438,0.95,0.1,0.5,0.1,20.0,0.0003,0.01,5.0,15.0,59.48717948717949
439,0.95,0.1,0.5,0.1,20.0,0.0003,0.01,5.0,15.0,48.2051282051282
440,0.95,0.1,0.5,0.1,20.0,0.0003,0.01,5.0,15.0,54.35897435897436
441,0.95,0.1,0.5,0.1,20.0,0.0003,0.01,5.0,25.0,60.51282051282051
442,0.95,0.1,0.5,0.1,20.0,0.0003,0.01,5.0,25.0,54.35897435897436
443,0.95,0.1,0.5,0.1,20.0,0.0003,0.01,5.0,25.0,44.61538461538461
444,0.95,0.1,0.5,0.1,20.0,0.001,0.001,5.0,15.0,21.538461538461533
445,0.95,0.1,0.5,0.1,20.0,0.001,0.001,5.0,15.0,39.48717948717949
446,0.95,0.1,0.5,0.1,20.0,0.001,0.001,5.0,15.0,29.230769230769223
447,0.95,0.1,0.5,0.1,20.0,0.001,0.001,5.0,25.0,37.94871794871795
448,0.95,0.1,0.5,0.1,20.0,0.001,0.001,5.0,25.0,31.282051282051285
449,0.95,0.1,0.5,0.1,20.0,0.001,0.001,5.0,25.0,49.74358974358975
450,0.95,0.1,0.5,0.1,20.0,0.001,0.01,5.0,15.0,42.05128205128205
451,0.95,0.1,0.5,0.1,20.0,0.001,0.01,5.0,15.0,41.53846153846153
452,0.95,0.1,0.5,0.1,20.0,0.001,0.01,5.0,15.0,27.179487179487182
453,0.95,0.1,0.5,0.1,20.0,0.001,0.01,5.0,25.0,46.66666666666666
454,0.95,0.1,0.5,0.1,20.0,0.001,0.01,5.0,25.0,47.692307692307686
455,0.95,0.1,0.5,0.1,20.0,0.001,0.01,5.0,25.0,39.48717948717949
456,0.95,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,15.0,40.51282051282051
457,0.95,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,15.0,50.256410256410255
458,0.95,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,15.0,44.1025641025641
459,0.95,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,25.0,50.76923076923077
460,0.95,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,25.0,47.692307692307686
461,0.95,0.1,0.5,0.1,40.0,0.0003,0.001,5.0,25.0,40.51282051282051
462,0.95,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,15.0,58.97435897435898
463,0.95,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,15.0,34.87179487179488
464,0.95,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,15.0,41.02564102564102
465,0.95,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,25.0,45.12820512820512
466,0.95,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,25.0,48.71794871794872
467,0.95,0.1,0.5,0.1,40.0,0.0003,0.01,5.0,25.0,26.153846153846143
468,0.95,0.1,0.5,0.1,40.0,0.001,0.001,5.0,15.0,53.84615384615385
469,0.95,0.1,0.5,0.1,40.0,0.001,0.001,5.0,15.0,34.87179487179488
470,0.95,0.1,0.5,0.1,40.0,0.001,0.001,5.0,15.0,46.15384615384615
471,0.95,0.1,0.5,0.1,40.0,0.001,0.001,5.0,25.0,37.43589743589744
472,0.95,0.1,0.5,0.1,40.0,0.001,0.001,5.0,25.0,45.64102564102564
473,0.95,0.1,0.5,0.1,40.0,0.001,0.001,5.0,25.0,31.7948717948718
474,0.95,0.1,0.5,0.1,40.0,0.001,0.01,5.0,15.0,50.76923076923077
475,0.95,0.1,0.5,0.1,40.0,0.001,0.01,5.0,15.0,36.92307692307693
476,0.95,0.1,0.5,0.1,40.0,0.001,0.01,5.0,15.0,50.256410256410255
477,0.95,0.1,0.5,0.1,40.0,0.001,0.01,5.0,25.0,26.66666666666667
478,0.95,0.1,0.5,0.1,40.0,0.001,0.01,5.0,25.0,18.461538461538467
479,0.95,0.1,0.5,0.1,40.0,0.001,0.01,5.0,25.0,26.66666666666667
480,0.95,0.1,0.1,0.01,20.0,0.0003,0.001,5.0,15.0,48.71794871794872
481,0.95,0.1,0.1,0.01,20.0,0.0003,0.001,5.0,15.0,42.56410256410257
482,0.95,0.1,0.1,0.01,20.0,0.0003,0.001,5.0,15.0,56.41025641025641
483,0.95,0.1,0.1,0.01,20.0,0.0003,0.001,5.0,25.0,47.179487179487175
484,0.95,0.1,0.1,0.01,20.0,0.0003,0.001,5.0,25.0,55.38461538461538
485,0.95,0.1,0.1,0.01,20.0,0.0003,0.001,5.0,25.0,60.51282051282051
486,0.95,0.1,0.1,0.01,20.0,0.0003,0.01,5.0,15.0,27.692307692307693
487,0.95,0.1,0.1,0.01,20.0,0.0003,0.01,5.0,15.0,46.15384615384615
488,0.95,0.1,0.1,0.01,20.0,0.0003,0.01,5.0,15.0,50.76923076923077
489,0.95,0.1,0.1,0.01,20.0,0.0003,0.01,5.0,25.0,59.48717948717949
490,0.95,0.1,0.1,0.01,20.0,0.0003,0.01,5.0,25.0,49.23076923076923
491,0.95,0.1,0.1,0.01,20.0,0.0003,0.01,5.0,25.0,53.333333333333336
492,0.95,0.1,0.1,0.01,20.0,0.001,0.001,5.0,15.0,52.820512820512825
493,0.95,0.1,0.1,0.01,20.0,0.001,0.001,5.0,15.0,57.94871794871795
494,0.95,0.1,0.1,0.01,20.0,0.001,0.001,5.0,15.0,51.7948717948718
495,0.95,0.1,0.1,0.01,20.0,0.001,0.001,5.0,25.0,55.8974358974359
496,0.95,0.1,0.1,0.01,20.0,0.001,0.001,5.0,25.0,40.51282051282051
497,0.95,0.1,0.1,0.01,20.0,0.001,0.001,5.0,25.0,49.74358974358975
498,0.95,0.1,0.1,0.01,20.0,0.001,0.01,5.0,15.0,52.30769230769231
499,0.95,0.1,0.1,0.01,20.0,0.001,0.01,5.0,15.0,51.7948717948718
500,0.95,0.1,0.1,0.01,20.0,0.001,0.01,5.0,15.0,55.38461538461538
501,0.95,0.1,0.1,0.01,20.0,0.001,0.01,5.0,25.0,56.92307692307692
502,0.95,0.1,0.1,0.01,20.0,0.001,0.01,5.0,25.0,57.94871794871795
503,0.95,0.1,0.1,0.01,20.0,0.001,0.01,5.0,25.0,51.7948717948718
504,0.95,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,15.0,57.94871794871795
505,0.95,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,15.0,45.12820512820512
506,0.95,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,15.0,53.84615384615385
507,0.95,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,25.0,51.7948717948718
508,0.95,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,25.0,49.23076923076923
509,0.95,0.1,0.1,0.01,40.0,0.0003,0.001,5.0,25.0,68.71794871794872
510,0.95,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,15.0,38.97435897435897
511,0.95,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,15.0,57.43589743589744
512,0.95,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,15.0,55.38461538461538
513,0.95,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,25.0,48.2051282051282
514,0.95,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,25.0,69.74358974358975
515,0.95,0.1,0.1,0.01,40.0,0.0003,0.01,5.0,25.0,55.38461538461538
516,0.95,0.1,0.1,0.01,40.0,0.001,0.001,5.0,15.0,57.94871794871795
517,0.95,0.1,0.1,0.01,40.0,0.001,0.001,5.0,15.0,58.46153846153846
518,0.95,0.1,0.1,0.01,40.0,0.001,0.001,5.0,15.0,50.76923076923077
519,0.95,0.1,0.1,0.01,40.0,0.001,0.001,5.0,25.0,61.02564102564102
520,0.95,0.1,0.1,0.01,40.0,0.001,0.001,5.0,25.0,41.02564102564102
521,0.95,0.1,0.1,0.01,40.0,0.001,0.001,5.0,25.0,56.92307692307692
522,0.95,0.1,0.1,0.01,40.0,0.001,0.01,5.0,15.0,43.58974358974359
523,0.95,0.1,0.1,0.01,40.0,0.001,0.01,5.0,15.0,47.692307692307686
524,0.95,0.1,0.1,0.01,40.0,0.001,0.01,5.0,15.0,66.15384615384616
525,0.95,0.1,0.1,0.01,40.0,0.001,0.01,5.0,25.0,56.92307692307692
526,0.95,0.1,0.1,0.01,40.0,0.001,0.01,5.0,25.0,44.1025641025641
527,0.95,0.1,0.1,0.01,40.0,0.001,0.01,5.0,25.0,43.58974358974359
528,0.95,0.1,0.1,0.1,20.0,0.0003,0.001,5.0,15.0,37.43589743589744
529,0.95,0.1,0.1,0.1,20.0,0.0003,0.001,5.0,15.0,35.8974358974359
530,0.95,0.1,0.1,0.1,20.0,0.0003,0.001,5.0,15.0,33.846153846153854
531,0.95,0.1,0.1,0.1,20.0,0.0003,0.001,5.0,25.0,44.1025641025641
532,0.95,0.1,0.1,0.1,20.0,0.0003,0.001,5.0,25.0,47.692307692307686
533,0.95,0.1,0.1,0.1,20.0,0.0003,0.001,5.0,25.0,46.66666666666666
534,0.95,0.1,0.1,0.1,20.0,0.0003,0.01,5.0,15.0,45.12820512820512
535,0.95,0.1,0.1,0.1,20.0,0.0003,0.01,5.0,15.0,46.66666666666666
536,0.95,0.1,0.1,0.1,20.0,0.0003,0.01,5.0,15.0,50.76923076923077
537,0.95,0.1,0.1,0.1,20.0,0.0003,0.01,5.0,25.0,50.256410256410255
538,0.95,0.1,0.1,0.1,20.0,0.0003,0.01,5.0,25.0,43.07692307692308
539,0.95,0.1,0.1,0.1,20.0,0.0003,0.01,5.0,25.0,29.230769230769223
540,0.95,0.1,0.1,0.1,20.0,0.001,0.001,5.0,15.0,44.61538461538461
541,0.95,0.1,0.1,0.1,20.0,0.001,0.001,5.0,15.0,49.23076923076923
542,0.95,0.1,0.1,0.1,20.0,0.001,0.001,5.0,15.0,48.2051282051282
543,0.95,0.1,0.1,0.1,20.0,0.001,0.001,5.0,25.0,41.02564102564102
544,0.95,0.1,0.1,0.1,20.0,0.001,0.001,5.0,25.0,44.1025641025641
545,0.95,0.1,0.1,0.1,20.0,0.001,0.001,5.0,25.0,44.61538461538461
546,0.95,0.1,0.1,0.1,20.0,0.001,0.01,5.0,15.0,54.35897435897436
547,0.95,0.1,0.1,0.1,20.0,0.001,0.01,5.0,15.0,47.179487179487175
548,0.95,0.1,0.1,0.1,20.0,0.001,0.01,5.0,15.0,35.8974358974359
549,0.95,0.1,0.1,0.1,20.0,0.001,0.01,5.0,25.0,52.820512820512825
550,0.95,0.1,0.1,0.1,20.0,0.001,0.01,5.0,25.0,57.43589743589744
551,0.95,0.1,0.1,0.1,20.0,0.001,0.01,5.0,25.0,44.1025641025641
552,0.95,0.1,0.1,0.1,40.0,0.0003,0.001,5.0,15.0,12.307692307692308
553,0.95,0.1,0.1,0.1,40.0,0.0003,0.001,5.0,15.0,25.128205128205124
554,0.95,0.1,0.1,0.1,40.0,0.0003,0.001,5.0,15.0,49.23076923076923
555,0.95,0.1,0.1,0.1,40.0,0.0003,0.001,5.0,25.0,8.717948717948715
556,0.95,0.1,0.1,0.1,40.0,0.0003,0.001,5.0,25.0,46.66666666666666
557,0.95,0.1,0.1,0.1,40.0,0.0003,0.001,5.0,25.0,43.07692307692308
558,0.95,0.1,0.1,0.1,40.0,0.0003,0.01,5.0,15.0,38.97435897435897
559,0.95,0.1,0.1,0.1,40.0,0.0003,0.01,5.0,15.0,61.53846153846153
560,0.95,0.1,0.1,0.1,40.0,0.0003,0.01,5.0,15.0,47.179487179487175
561,0.95,0.1,0.1,0.1,40.0,0.0003,0.01,5.0,25.0,8.717948717948715
562,0.95,0.1,0.1,0.1,40.0,0.0003,0.01,5.0,25.0,44.1025641025641
563,0.95,0.1,0.1,0.1,40.0,0.0003,0.01,5.0,25.0,45.12820512820512
564,0.95,0.1,0.1,0.1,40.0,0.001,0.001,5.0,15.0,40.0
565,0.95,0.1,0.1,0.1,40.0,0.001,0.001,5.0,15.0,43.58974358974359
566,0.95,0.1,0.1,0.1,40.0,0.001,0.001,5.0,15.0,47.692307692307686
567,0.95,0.1,0.1,0.1,40.0,0.001,0.001,5.0,25.0,28.717948717948715
568,0.95,0.1,0.1,0.1,40.0,0.001,0.001,5.0,25.0,13.333333333333329
569,0.95,0.1,0.1,0.1,40.0,0.001,0.001,5.0,25.0,49.74358974358975
570,0.95,0.1,0.1,0.1,40.0,0.001,0.01,5.0,15.0,18.974358974358974
571,0.95,0.1,0.1,0.1,40.0,0.001,0.01,5.0,15.0,29.230769230769223
572,0.95,0.1,0.1,0.1,40.0,0.001,0.01,5.0,15.0,51.282051282051285
573,0.95,0.1,0.1,0.1,40.0,0.001,0.01,5.0,25.0,50.76923076923077
574,0.95,0.1,0.1,0.1,40.0,0.001,0.01,5.0,25.0,54.87179487179487
575,0.95,0.1,0.1,0.1,40.0,0.001,0.01,5.0,25.0,45.12820512820512
576,0.95,0.2,0.5,0.01,20.0,0.0003,0.001,5.0,15.0,61.53846153846153
577,0.95,0.2,0.5,0.01,20.0,0.0003,0.001,5.0,15.0,55.38461538461538
578,0.95,0.2,0.5,0.01,20.0,0.0003,0.001,5.0,15.0,43.58974358974359
579,0.95,0.2,0.5,0.01,20.0,0.0003,0.001,5.0,25.0,54.35897435897436
580,0.95,0.2,0.5,0.01,20.0,0.0003,0.001,5.0,25.0,56.41025641025641
581,0.95,0.2,0.5,0.01,20.0,0.0003,0.001,5.0,25.0,56.92307692307692
582,0.95,0.2,0.5,0.01,20.0,0.0003,0.01,5.0,15.0,52.30769230769231
583,0.95,0.2,0.5,0.01,20.0,0.0003,0.01,5.0,15.0,46.15384615384615
584,0.95,0.2,0.5,0.01,20.0,0.0003,0.01,5.0,15.0,57.94871794871795
585,0.95,0.2,0.5,0.01,20.0,0.0003,0.01,5.0,25.0,53.333333333333336
586,0.95,0.2,0.5,0.01,20.0,0.0003,0.01,5.0,25.0,51.7948717948718
587,0.95,0.2,0.5,0.01,20.0,0.0003,0.01,5.0,25.0,58.97435897435898
588,0.95,0.2,0.5,0.01,20.0,0.001,0.001,5.0,15.0,47.179487179487175
589,0.95,0.2,0.5,0.01,20.0,0.001,0.001,5.0,15.0,56.41025641025641
590,0.95,0.2,0.5,0.01,20.0,0.001,0.001,5.0,15.0,52.30769230769231
591,0.95,0.2,0.5,0.01,20.0,0.001,0.001,5.0,25.0,54.35897435897436
592,0.95,0.2,0.5,0.01,20.0,0.001,0.001,5.0,25.0,51.7948717948718
593,0.95,0.2,0.5,0.01,20.0,0.001,0.001,5.0,25.0,53.333333333333336
594,0.95,0.2,0.5,0.01,20.0,0.001,0.01,5.0,15.0,56.41025641025641
595,0.95,0.2,0.5,0.01,20.0,0.001,0.01,5.0,15.0,62.56410256410256
596,0.95,0.2,0.5,0.01,20.0,0.001,0.01,5.0,15.0,50.76923076923077
597,0.95,0.2,0.5,0.01,20.0,0.001,0.01,5.0,25.0,42.56410256410257
598,0.95,0.2,0.5,0.01,20.0,0.001,0.01,5.0,25.0,53.84615384615385
599,0.95,0.2,0.5,0.01,20.0,0.001,0.01,5.0,25.0,48.2051282051282
600,0.95,0.2,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,63.07692307692307
601,0.95,0.2,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,26.153846153846143
602,0.95,0.2,0.5,0.01,40.0,0.0003,0.001,5.0,15.0,63.58974358974359
603,0.95,0.2,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,45.64102564102564
604,0.95,0.2,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,59.48717948717949
605,0.95,0.2,0.5,0.01,40.0,0.0003,0.001,5.0,25.0,63.07692307692307
606,0.95,0.2,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,52.30769230769231
607,0.95,0.2,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,63.07692307692307
608,0.95,0.2,0.5,0.01,40.0,0.0003,0.01,5.0,15.0,57.43589743589744
609,0.95,0.2,0.5,0.01,40.0,0.0003,0.01,5.0,25.0,53.333333333333336
